code;name;;en_name;de_desc;de_link;en_desc;en_link;de_syn;en_syn
1;Burgenland;;Burgenland;;;;;;
2;Kärnten;;Carinthia;;;;;;
3;Niederösterreich;;Lower Austria;;;;;;
4;Oberösterreich;;Upper Austria;;;;;;
5;Salzburg;;Salzburg;;;;;;
6;Steiermark;;Styria;;;;;;
7;Tirol;;Tyrol;;;;;;
8;Vorarlberg;;Vorarlberg;;;;;;
9;Wien;;Vienna;;;;;;
10;Ausland;;abroad;;;;;;
30;unbekannt;;unknown;;;;;;
