"Veranlagungsjahr","Geschlecht","Bundesland","Stufen des zu versteuernden Einkommens","Anzahl Veranlagungsfälle","Fallzahl Gesamtbetrag der Einkünfte insgesamt","Gesamtbetrag der Einkünfte insgesamt","Fallzahl zu versteuerndes Einkommen insgesamt","Betrag zu versteuerndes Einkommen insgesamt","Fallzahl Festgesetzte Einkommensteuer","Festgesetzte Einkommensteuer","Fallzahl Angerechnete Lohnsteuer","Angerechnete Lohnsteuer","Fallzahl Abgabenschuld","Abgabenschuld","Fallzahl Gutschrift","Gutschrift","Fallzahl Nichtselbständige Arbeit – Bruttobezüge","Nichtselbständige Arbeit – Bruttobezüge","Fallzahl Einkünfte (nach Ausgleich mit Verlusten) aus Land- und Forstwirtschaft","Einkünfte (nach Ausgleich mit Verlusten) aus Land- und Forstwirtschaft","Fallzahl Einkünfte (nach Ausgleich mit Verlusten) aus Selbständiger Arbeit","Einkünfte (nach Ausgleich mit Verlusten) aus Selbständiger Arbeit","Fallzahl Einkünfte (nach Ausgleich mit Verlusten) aus Gewerbebetrieb","Einkünfte (nach Ausgleich mit Verlusten) aus Gewerbebetrieb","Fallzahl Einkünfte (nach Ausgleich mit Verlusten) aus Nichtselbständiger Arbeit","Einkünfte (nach Ausgleich mit Verlusten) aus Nichtselbständiger Arbeit","Fallzahl Einkünfte (nach Ausgleich mit Verlusten) aus Kapitalvermögen","Betrag Einkünfte (nach Ausgleich mit Verlusten) aus Kapitalvermögen","Fallzahl Einkünfte (nach Ausgleich mit Verlusten) aus Vermietung und Verpachtung","Einkünfte (nach Ausgleich mit Verlusten) aus Vermietung und Verpachtung","Fallzahl Einkünfte (nach Ausgleich mit Verlusten) aus Sonstigen Einkünften","Betrag Einkünfte (nach Ausgleich mit Verlusten) aus Sonstigen Einkünften","Fallzahl Sonderausgaben Insgesamt","Sonderausgaben Insgesamt","Fallzahl Verlustabzug","Verlustabzug","Fallzahl Außergewöhnliche Belastungen","Außergewöhnliche Belastungen","Fallzahl Angerechnete ausländische Steuern","Angerechnete ausländische Steuern","Fallzahl Angerechnete Kapitalertragsteuer","Angerechnete Kapitalertragsteuer","Fallzahl Alleinverdienerabsetzbetrag","Alleinverdienerabsetzbetrag","Fallzahl Alleinerzieherabsetzbetrag","Alleinerzieherabsetzbetrag","Fallzahl Verkehrsabsetzbetrag","Verkehrsabsetzbetrag","Fallzahl Pensionistenabsetzbetrag","Pensionistenabsetzbetrag","Fallzahl Unterhaltsabsetzbetrag","Unterhaltsabsetzbetrag","Fallzahl Progressionseinkünfte","Progressionseinkünfte","Fallzahl Familienbonus Plus (ab 2020)","Familienbonus Plus (ab 2020)","Fallzahl Erhöhter Pensionistenabsetzbetrag (ab 2020)","Erhöhter Pensionistenabsetzbetrag (ab 2020)","Fallzahl Kindermehrbetrag (ab 2020)","Kindermehrbetrag (ab 2020)","Fallzahl Einkommensteuer nach Tarif","Betrag Einkommensteuer nach Tarif","Fallzahl Steuer nach Tarif","Betrag Steuer nach Tarif","Fallzahl Negativsteuer nach Tarif","Betrag Negativsteuer nach Tarif","Fallzahl Kapitaleinkünfte (nach Ausgleich mit Verlusten) mit festen Sätzen besteuert (ab 2022)","Betrag Kapitaleinkünfte (nach Ausgleich mit Verlusten) mit festen Sätzen besteuert (ab 2022)","Fallzahl Einkünfte aus Grundstückveräußerungen (nach Ausgleich mit Verlusten) mit festen Sätzen besteuert (ab 2022)","Betrag Einkünfte aus Grundstückveräußerungen (nach Ausgleich mit Verlusten) mit festen Sätzen besteuert (ab 2022)","Fallzahl Einkünfte aus sonst. Bezüge § 67 (Jahressechstel) mit festen Sätzen besteuert (ab 2022)","Betrag Einkünfte aus sonst. Bezüge § 67 (Jahressechstel) mit festen Sätzen besteuert (ab 2022)","Fallzahl Steuer Kapitaleinkünfte (nach Ausgleich mit Verlusten) mit festen Sätzen besteuert (ab 2022)","Betrag Steuer Kapitaleinkünfte (nach Ausgleich mit Verlusten) mit festen Sätzen besteuert (ab 2022)","Fallzahl Steuer Einkünfte aus Grundstückveräußerungen (nach Ausgleich mit Verlusten) mit festen Sätzen besteuert (ab 2022)","Betrag Steuer Einkünfte aus Grundstückveräußerungen (nach Ausgleich mit Verlusten) mit festen Sätzen besteuert (ab 2022)","Fallzahl Steuer sonst. Bezüge § 67 mit festen Sätzen besteuert (ab 2022)","Betrag Steuer sonst. Bezüge § 67 mit festen Sätzen besteuert (ab 2022)"
"2023","weiblich","Niederösterreich","bis unter 4",11809,11179,-8989700,7366,14332046,3233,-1899404,1213,-572900,75,17169,3281,-2828391,3627,21473957,732,-570753,2475,-1384398,6711,-22393097,3377,15287338,191,603048,1402,-557714,55,289715,3526,-11057325,1098,-10033820,302,-1375075,1,-58,75,-112368,339,-247581,505,-314600,1842,-809439,535,-170455,9,-1078,237,6101512,25,-16414,14,-5050,564,-598283,3168,-1957660,35,174639,3133,-2132299,75,62405,6,10112,2728,2199870,75,16564,7,913,343,40712
"2023","weiblich","Niederösterreich","4 bis unter 6",4498,4498,23516325,4498,22194813,1363,-802284,546,-627359,18,9005,1386,-1508147,1527,12723038,248,685557,968,2953659,2796,8812221,1499,10099555,49,121184,476,816535,18,117543,1530,-1833259,133,-1403727,98,-496802,0,0,26,-16985,101,-70152,171,-104224,778,-461643,311,-61778,1,-72,50,658433,13,-8586,4,-785,186,-175396,1320,-842135,21,8786,1299,-850921,13,19187,3,6508,1342,1444020,13,5227,3,1952,168,32672
"2023","weiblich","Niederösterreich","6 bis unter 8",3816,3816,28425852,3816,26667452,1567,-972806,590,-546104,28,20013,1580,-1708066,1706,15068375,252,1155184,782,3270853,2215,10812628,1683,12182472,66,194456,492,399007,22,516965,1493,-1655301,119,-1239602,99,-427013,1,-1579,35,-24394,77,-52400,161,-99632,894,-598136,449,-115269,7,-1206,68,1637869,20,-18465,4,-1349,180,-179850,1539,-1009153,23,19140,1516,-1028293,19,34099,4,11140,1551,1708422,19,9058,4,3342,136,23948
"2023","weiblich","Niederösterreich","8 bis unter 10",3677,3677,35195678,3677,33095343,1697,-1134916,614,-475579,34,29458,1699,-1679818,1771,17950778,305,1687781,781,4149201,2064,13032526,1741,14507805,76,180584,539,1648485,30,92142,1647,-1236015,74,-742535,150,-617960,0,0,43,-29682,70,-47056,165,-100950,959,-748294,528,-167634,5,-1142,51,989187,17,-7927,9,-3756,156,-151058,1673,-1176540,32,27220,1641,-1203760,25,41160,6,20365,1623,2052373,25,11275,6,6109,185,24240
"2023","weiblich","Niederösterreich","10 bis unter 15",8934,8934,117593860,8934,111684083,7015,-3647908,2840,-1689808,1622,542191,5444,-6084136,5757,79081093,832,4746827,1955,11866860,4061,27973499,5702,65741996,252,809805,1898,6499516,69,367820,5039,-2642725,146,-1202839,493,-2093261,2,-5,149,-121644,119,-80560,362,-218245,3422,-3202326,1911,-984258,12,-3986,142,1319520,530,-192768,21,-11941,333,-281050,6961,-3850827,1639,549587,5322,-4400414,78,158903,13,56095,5422,9232848,78,43160,13,16828,1590,142930
"2023","weiblich","Niederösterreich","15 bis unter 20",9333,9333,168974782,9333,163297204,8962,-379661,5919,-3706688,2599,2089751,6322,-6327910,7371,141602641,960,5896449,2099,13474817,3365,22590022,7333,118115641,188,670151,2504,8337221,117,484477,6014,-2539882,88,-729957,574,-2147405,6,-1526,83,-92925,110,-79728,375,-230904,4619,-4940490,2584,-2169088,17,-6853,119,982376,1302,-1041240,18,-19311,166,-90363,8899,-1054113,3056,2222728,5843,-3276841,89,191609,28,103099,7145,16667339,89,51574,28,30930,5212,591844
"2023","weiblich","Niederösterreich","20 bis unter 25",9057,9057,208214841,9057,203579833,8955,7856346,7118,-8458593,4207,4739700,4692,-5521729,7733,191985800,958,5666302,2021,14731465,2901,19883994,7697,158283991,189,704553,2787,9018363,111,542176,6324,-2190695,48,-343635,553,-1398544,11,-3306,51,-68971,98,-68488,392,-241568,5131,-4585881,2456,-1925430,27,-11243,118,1640913,1704,-2361023,15,-18847,26,-10503,8946,6717904,7515,7802626,1431,-1084722,106,231069,27,123579,7599,22800530,106,62995,27,37074,6811,1038373
"2023","weiblich","Niederösterreich","25 bis unter 30",7819,7819,219176976,7819,214625951,7788,17994331,6485,-13984549,4344,7698091,3398,-3914585,6839,207692901,808,4941982,1831,16114728,2199,16728675,6820,170151302,175,687062,2699,10447830,108,608078,5689,-2357251,48,-365277,503,-1442971,16,-21414,34,-73299,69,-46448,352,-214280,4558,-2642869,2112,-1151022,16,-6319,110,845136,1620,-2815010,12,-12618,2,-1105,7784,16649693,7270,16983267,514,-333574,109,323121,33,176067,6751,24593649,109,88041,33,52820,6345,1203778
"2023","weiblich","Niederösterreich","30 bis unter 40",12195,12195,430414870,12195,423059597,12191,54202358,10490,-40224131,7425,19430357,4648,-5822976,10880,414882465,1135,8666086,2975,29988060,3054,29432621,10850,339167885,338,1319828,4693,21376216,192,1171557,9244,-4191074,37,-392603,813,-2151973,21,-40553,58,-103612,104,-71472,537,-330147,7281,-3081376,1709,-751568,47,-19004,186,2170549,2687,-5176284,5,-3177,0,0,12190,51404526,11983,51532762,207,-128236,245,701696,55,279577,10743,49060375,245,191348,55,83164,10308,2523320
"2023","weiblich","Niederösterreich","40 bis unter 50",8357,8357,378738690,8357,372864783,8357,65632637,7268,-46418916,5360,22733144,2919,-4010751,7467,361601090,672,6185491,2256,29214164,1759,23679948,7447,296431076,291,1476397,3587,20216298,181,1943665,6551,-3658153,37,-525645,491,-1530739,13,-21540,48,-106235,68,-48592,382,-230328,5040,-2126386,461,-260878,31,-11298,120,1517475,2052,-4079228,2,-2556,0,0,8350,62936326,8331,62945293,19,-8967,218,900258,54,609578,7382,42530791,218,245358,54,182653,7172,2268300
