"Veranlagungsjahr","Geschlecht","Bundesland","Stufen des zu versteuernden Einkommens","Anzahl Veranlagungsfälle","Fallzahl Gesamtbetrag der Einkünfte insgesamt","Gesamtbetrag der Einkünfte insgesamt","Fallzahl zu versteuerndes Einkommen insgesamt","Betrag zu versteuerndes Einkommen insgesamt","Fallzahl Festgesetzte Einkommensteuer","Festgesetzte Einkommensteuer","Fallzahl Angerechnete Lohnsteuer","Angerechnete Lohnsteuer","Fallzahl Abgabenschuld","Abgabenschuld","Fallzahl Gutschrift","Gutschrift","Fallzahl Nichtselbständige Arbeit – Bruttobezüge","Nichtselbständige Arbeit – Bruttobezüge","Fallzahl Einkünfte (nach Ausgleich mit Verlusten) aus Land- und Forstwirtschaft","Einkünfte (nach Ausgleich mit Verlusten) aus Land- und Forstwirtschaft","Fallzahl Einkünfte (nach Ausgleich mit Verlusten) aus Selbständiger Arbeit","Einkünfte (nach Ausgleich mit Verlusten) aus Selbständiger Arbeit","Fallzahl Einkünfte (nach Ausgleich mit Verlusten) aus Gewerbebetrieb","Einkünfte (nach Ausgleich mit Verlusten) aus Gewerbebetrieb","Fallzahl Einkünfte (nach Ausgleich mit Verlusten) aus Nichtselbständiger Arbeit","Einkünfte (nach Ausgleich mit Verlusten) aus Nichtselbständiger Arbeit","Fallzahl Einkünfte (nach Ausgleich mit Verlusten) aus Kapitalvermögen","Betrag Einkünfte (nach Ausgleich mit Verlusten) aus Kapitalvermögen","Fallzahl Einkünfte (nach Ausgleich mit Verlusten) aus Vermietung und Verpachtung","Einkünfte (nach Ausgleich mit Verlusten) aus Vermietung und Verpachtung","Fallzahl Einkünfte (nach Ausgleich mit Verlusten) aus Sonstigen Einkünften","Betrag Einkünfte (nach Ausgleich mit Verlusten) aus Sonstigen Einkünften","Fallzahl Sonderausgaben Insgesamt","Sonderausgaben Insgesamt","Fallzahl Verlustabzug","Verlustabzug","Fallzahl Außergewöhnliche Belastungen","Außergewöhnliche Belastungen","Fallzahl Angerechnete ausländische Steuern","Angerechnete ausländische Steuern","Fallzahl Angerechnete Kapitalertragsteuer","Angerechnete Kapitalertragsteuer","Fallzahl Alleinverdienerabsetzbetrag","Alleinverdienerabsetzbetrag","Fallzahl Alleinerzieherabsetzbetrag","Alleinerzieherabsetzbetrag","Fallzahl Verkehrsabsetzbetrag","Verkehrsabsetzbetrag","Fallzahl Pensionistenabsetzbetrag","Pensionistenabsetzbetrag","Fallzahl Unterhaltsabsetzbetrag","Unterhaltsabsetzbetrag","Fallzahl Progressionseinkünfte","Progressionseinkünfte","Fallzahl Familienbonus Plus (ab 2020)","Familienbonus Plus (ab 2020)","Fallzahl Erhöhter Pensionistenabsetzbetrag (ab 2020)","Erhöhter Pensionistenabsetzbetrag (ab 2020)","Fallzahl Kindermehrbetrag (ab 2020)","Kindermehrbetrag (ab 2020)","Fallzahl Einkommensteuer nach Tarif","Betrag Einkommensteuer nach Tarif","Fallzahl Steuer nach Tarif","Betrag Steuer nach Tarif","Fallzahl Negativsteuer nach Tarif","Betrag Negativsteuer nach Tarif","Fallzahl Kapitaleinkünfte (nach Ausgleich mit Verlusten) mit festen Sätzen besteuert (ab 2022)","Betrag Kapitaleinkünfte (nach Ausgleich mit Verlusten) mit festen Sätzen besteuert (ab 2022)","Fallzahl Einkünfte aus Grundstückveräußerungen (nach Ausgleich mit Verlusten) mit festen Sätzen besteuert (ab 2022)","Betrag Einkünfte aus Grundstückveräußerungen (nach Ausgleich mit Verlusten) mit festen Sätzen besteuert (ab 2022)","Fallzahl Einkünfte aus sonst. Bezüge § 67 (Jahressechstel) mit festen Sätzen besteuert (ab 2022)","Betrag Einkünfte aus sonst. Bezüge § 67 (Jahressechstel) mit festen Sätzen besteuert (ab 2022)","Fallzahl Steuer Kapitaleinkünfte (nach Ausgleich mit Verlusten) mit festen Sätzen besteuert (ab 2022)","Betrag Steuer Kapitaleinkünfte (nach Ausgleich mit Verlusten) mit festen Sätzen besteuert (ab 2022)","Fallzahl Steuer Einkünfte aus Grundstückveräußerungen (nach Ausgleich mit Verlusten) mit festen Sätzen besteuert (ab 2022)","Betrag Steuer Einkünfte aus Grundstückveräußerungen (nach Ausgleich mit Verlusten) mit festen Sätzen besteuert (ab 2022)","Fallzahl Steuer sonst. Bezüge § 67 mit festen Sätzen besteuert (ab 2022)","Betrag Steuer sonst. Bezüge § 67 mit festen Sätzen besteuert (ab 2022)"
"2023","weiblich","Niederösterreich","50 bis unter 70",8496,8496,504204085,8496,497789206,8495,111351013,7343,-74632928,5840,39984180,2606,-4052110,7537,466103819,623,6790558,2477,44391600,1647,34776066,7509,381445928,396,3239496,3954,31026914,209,3002197,6919,-4184765,18,-116405,538,-1627466,19,-43435,74,-235648,61,-43672,392,-237640,5268,-2219466,402,-248979,26,-11014,134,2362876,2204,-4328453,0,0,0,0,8484,107439947,8476,107444429,8,-4482,304,2342296,49,1063888,7440,54007058,304,640480,49,319079,7245,2956146
"2023","weiblich","Niederösterreich","70 bis unter 100",4594,4594,382300928,4594,378091335,4594,105383844,3798,-62578076,3361,44414339,1227,-2431779,3917,320898025,246,4315539,1711,47293418,901,35229702,3904,263083723,252,3389250,2090,26526322,124,2649543,3755,-2986978,8,-200874,244,-892111,10,-33624,41,-191036,34,-23400,194,-119504,2893,-1220409,160,-97246,13,-6409,82,999151,1372,-2725306,1,-1278,1,-1465,4585,102155261,4576,102163968,9,-8707,208,3030060,30,1168916,3853,36560543,208,831174,30,350675,3748,2046735
"2023","weiblich","Niederösterreich","100 und mehr",4393,4393,925552955,4393,919426346,4393,347810425,2903,-96887040,3689,246380706,697,-3064551,3120,371642376,181,7677210,2363,369484669,901,115280771,3095,313822212,423,52142512,1696,51759391,216,15458742,3642,-5389926,16,-1244724,182,-583491,27,-822373,89,-968199,38,-25384,234,-138960,2305,-975884,187,-126584,20,-9821,113,5559502,1677,-3398747,2,-2556,0,0,4373,327262590,4348,327276982,25,-14393,380,51257450,71,12416518,3022,40665867,380,14063679,71,3724955,2831,2828962
"2023","weiblich","Oberösterreich","bis unter 4",8267,7820,-6700377,5328,10193472,2461,-1531153,868,-378780,84,41454,2460,-2075178,2805,15350904,522,-548283,1816,-427253,4450,-15861039,2620,10666628,168,204278,1192,-672683,28,101519,2826,-6603859,691,-5784540,204,-700863,0,0,66,-95152,227,-169016,316,-200488,1568,-685670,354,-114395,2,-236,256,6589219,11,-7204,7,-1966,405,-440550,2408,-1567324,37,13979,2371,-1581303,78,43842,1,447,2126,1585977,78,11758,1,134,210,24279
"2023","weiblich","Oberösterreich","4 bis unter 6",2991,2991,15654681,2991,14861981,1119,-604573,413,-455271,35,19391,1099,-1095209,1272,10105548,176,-688838,643,2066196,1641,4834202,1229,8070422,58,123782,469,1296957,12,25300,1257,-1905554,109,-1576270,93,-512961,0,0,29,-14941,81,-57024,95,-56360,705,-390532,219,-57350,0,0,74,1396215,4,-3067,0,0,123,-113957,1080,-641825,22,10859,1058,-652684,24,46690,2,2038,1104,1158307,24,12736,2,611,119,23905
"2023","weiblich","Oberösterreich","6 bis unter 8",2809,2809,21151003,2809,19684235,1309,-760399,425,-338101,30,27117,1294,-1166784,1491,12481462,175,708911,550,2223090,1516,6640985,1460,10017459,69,153852,479,1451036,21,68902,1276,-1124267,71,-818848,91,-382084,0,0,51,-29931,44,-30952,97,-59704,813,-535909,355,-100083,1,-143,75,1066327,7,-6185,5,-2137,102,-102850,1287,-785455,29,24095,1258,-809550,20,34917,1,4200,1352,1420468,20,9342,1,1260,92,14454
"2023","weiblich","Oberösterreich","8 bis unter 10",2941,2941,27975319,2941,26442226,1508,-983095,517,-347369,29,29520,1502,-1426017,1643,16180808,198,913111,642,3160385,1517,9009773,1623,12921375,95,253107,563,1794197,9,23555,1446,-941122,63,-562107,127,-422285,0,0,63,-60500,45,-31704,97,-60392,939,-727483,455,-153984,0,0,84,1419850,27,-14517,11,-5470,101,-103223,1495,-1012746,31,33982,1464,-1046728,22,44610,2,6318,1524,1836185,22,12137,2,1895,125,15618
"2023","weiblich","Oberösterreich","10 bis unter 15",7566,7566,98568308,7566,94731535,6239,-3758993,2641,-1311930,1112,395714,5159,-5652580,5456,74653112,488,1794274,1635,8538572,3295,20041195,5396,61534373,234,811767,1859,5992652,57,243225,4577,-1620732,102,-539927,420,-1423809,1,-1580,154,-136814,101,-71288,286,-176952,3505,-3348463,1656,-857549,12,-2367,175,1789332,388,-132052,14,-7619,255,-235333,6205,-3919322,1120,399385,5085,-4318706,76,154481,5,5196,5168,8631512,76,41637,5,1559,1406,117134
"2023","weiblich","Oberösterreich","15 bis unter 20",8300,8300,148941309,8300,145105980,8003,-848530,5487,-3066216,2011,1542961,5966,-5659213,6887,130811063,667,2311380,1790,10362229,3077,19003333,6841,108288848,192,688056,2316,8309560,102,481622,5546,-1845388,63,-444588,504,-1379666,6,-3476,104,-126112,86,-61472,345,-217248,4779,-5148850,1992,-1664903,25,-7018,156,1778249,1133,-886481,10,-10900,148,-90887,7961,-1441236,2390,1666410,5571,-3107646,90,176059,11,67666,6678,15213384,90,48067,11,20289,4817,524349
"2023","weiblich","Oberösterreich","20 bis unter 25",7748,7748,178237516,7748,174098086,7679,6804830,6088,-7083643,3578,4103939,4047,-4576023,6730,167152800,660,2485060,1800,11736461,2496,17417539,6709,136610646,170,671126,2450,9309849,89,512420,5461,-1852851,44,-317934,516,-1398748,8,-3913,59,-80392,71,-51872,375,-225816,4875,-4342057,1778,-1406388,24,-8296,124,1082142,1327,-1751613,3,-3834,20,-12869,7667,5819418,6546,6679067,1121,-859648,108,317069,8,62880,6574,19518926,108,85595,8,18864,5859,880953
"2023","weiblich","Oberösterreich","25 bis unter 30",6637,6637,185606919,6637,182048262,6614,15214621,5572,-11718004,3746,6531664,2847,-3260267,5944,179918093,485,2169619,1623,12310282,1942,14263815,5919,145882943,156,682531,2397,10062215,82,627572,4831,-1930221,24,-349315,406,-983917,6,-5916,40,-103238,54,-39624,296,-181936,4389,-2540931,1436,-824292,22,-11131,130,1228491,1343,-2291809,7,-7199,2,-5014,6613,14081315,6197,14352163,416,-270848,113,357607,9,35620,5822,20997556,113,97681,9,10686,5472,1024939
"2023","weiblich","Oberösterreich","30 bis unter 40",10025,10025,353424155,10025,347799837,10019,44831151,8570,-31633898,6284,16958370,3648,-4169269,8955,340359698,777,4398593,2680,25980290,2576,25796804,8918,275005427,303,1490866,3836,20243291,167,1115053,7621,-3341143,23,-588040,590,-1348774,11,-10291,84,-218819,70,-48344,449,-272560,6529,-2765195,1273,-629268,31,-12584,189,1737056,2147,-4017902,4,-1750,1,-1100,10015,42507289,9878,42593691,137,-86402,235,878919,23,173545,8826,39667091,235,240406,23,52063,8455,2031392
"2023","weiblich","Oberösterreich","40 bis unter 50",6211,6211,280470567,6211,276541178,6211,49071230,5355,-33245225,4193,18013262,1970,-2464702,5539,265772553,432,3023968,1801,22296329,1402,19396683,5515,215796565,218,1005032,2731,18095314,108,1202081,4909,-2337724,12,-120995,362,-1010947,7,-10576,44,-140614,39,-28496,268,-160776,3986,-1680016,357,-211502,18,-7442,99,4350534,1459,-2798251,2,-1521,0,0,6210,47223358,6203,47227616,7,-4257,159,572531,16,174709,5461,30822843,159,156062,16,52413,5297,1639397
"2023","weiblich","Oberösterreich","50 bis unter 70",6135,6135,362779305,6135,358059240,6135,80788341,5185,-51039383,4408,31735979,1707,-2446233,5384,326850471,383,2900550,2019,35552452,1225,29567727,5363,265314804,283,1516287,2833,26331792,155,1856583,4985,-3164327,11,-68383,341,-986435,15,-39861,55,-176363,31,-21752,258,-154200,3951,-1667455,266,-167212,18,-7142,105,1111421,1574,-2950382,2,-2380,0,0,6134,78298415,6129,78301532,5,-3117,211,1163534,32,506455,5299,37048112,211,319052,32,151936,5136,2018936
"2023","weiblich","Oberösterreich","70 bis unter 100",3377,3377,280874128,3377,277755680,3377,78497636,2815,-44581250,2680,34507858,694,-1293297,2913,236613652,210,1986122,1404,36929155,588,24848436,2897,189831611,160,2390363,1515,22198191,116,2795260,2815,-2498246,6,-449643,161,-470710,9,-75760,27,-57812,16,-11320,142,-85312,2240,-945461,122,-80412,10,-4166,83,2083577,922,-1763536,1,-1278,0,0,3372,76190799,3361,76195480,11,-4681,117,2060088,28,1157378,2852,25062969,117,565150,28,347213,2765,1394473
"2023","weiblich","Oberösterreich","100 und mehr",3198,3198,639089372,3198,633496940,3198,240401804,2117,-67040106,2863,169208134,332,-1843135,2275,263509811,189,2902937,1768,203556831,679,98786193,2238,218647484,317,57909114,1217,43516748,167,13791568,2635,-4881564,10,-700060,136,-368379,20,-202816,75,-837273,29,-19416,146,-89832,1688,-720016,141,-93810,12,-5704,76,4976898,1131,-2390456,0,0,2,-1100,3183,220163273,3164,220176857,19,-13584,274,56068469,44,10838889,2167,26713049,275,15411321,44,3251667,2067,1815171
"2023","weiblich","Salzburg","bis unter 4",3768,3609,-6868876,2389,4578669,1071,-463355,436,-198882,80,45312,1033,-842990,1290,8358325,75,-108218,794,-32910,2020,-12233017,1222,5608393,128,209806,742,-466538,21,216547,1232,-4345214,387,-3965689,71,-324152,0,0,33,-47419,48,-33614,127,-77792,666,-302730,188,-64523,0,0,229,7869389,4,-2733,10,-3540,114,-108900,1022,-490024,40,80814,982,-570839,62,43228,0,0,1008,805378,62,11598,0,0,126,14811
"2023","weiblich","Salzburg","4 bis unter 6",1311,1311,7257942,1311,6535792,477,-241090,215,-261560,22,12363,462,-520410,571,5054288,33,75704,319,1175421,663,1394176,563,4087188,25,58583,279,486911,5,16454,547,-831762,45,-714763,28,-173411,0,0,7,-3862,21,-14424,37,-22486,320,-181554,82,-19864,1,-112,53,1213640,8,-3678,5,-1315,48,-45439,453,-260931,15,9227,438,-270158,15,22626,0,0,488,564942,15,6182,0,0,68,13559
"2023","weiblich","Salzburg","6 bis unter 8",1175,1175,8950823,1175,8156091,546,-293286,211,-253896,23,15440,530,-573336,623,6152905,46,140860,257,903889,580,1751992,620,5070216,31,91677,286,988508,8,46118,595,-674226,40,-507461,41,-265814,2,-38,11,-8101,17,-12440,34,-20094,350,-237361,140,-44583,1,-33,63,1232995,5,-4860,4,-1252,35,-32450,523,-314204,17,11026,506,-325230,15,32692,0,0,572,702591,15,8729,0,0,60,12185
"2023","weiblich","Salzburg","8 bis unter 10",1272,1272,12046126,1272,11496062,668,-402631,256,-142489,25,18960,649,-604753,706,7014883,35,138774,298,1493429,568,3156574,695,5716686,30,65194,361,1445163,14,71452,666,-328102,19,-137498,37,-166523,1,-736,11,-35894,17,-11512,45,-26624,428,-329908,178,-65809,1,-11,69,1359833,10,-4290,6,-2225,37,-32578,661,-419218,24,22761,637,-441979,14,26598,2,5797,661,795478,14,7287,2,1739,73,7550
"2023","weiblich","Salzburg","10 bis unter 15",3454,3454,45601614,3454,43586701,2779,-1298718,1119,-588989,619,276572,2179,-2220134,2356,31651366,90,436643,753,4308262,1412,9200141,2336,26309585,85,360654,1114,4964765,32,152975,2099,-1107748,52,-559734,113,-493362,0,0,35,-42980,37,-25744,118,-72424,1436,-1327003,761,-406916,3,-532,152,2133370,199,-77657,9,-4883,87,-74174,2753,-1384221,630,281845,2123,-1666066,41,117220,2,10696,2227,3613009,41,31644,2,3209,589,50650
"2023","weiblich","Salzburg","15 bis unter 20",3792,3792,68414677,3792,66331609,3630,37855,2257,-1453603,1153,913117,2469,-2374170,3053,55252256,88,352880,775,5227006,1330,9416856,3035,46273102,79,242958,1446,6784530,41,289975,2563,-888282,29,-207489,145,-689100,6,-3445,18,-17959,27,-17312,148,-87368,2051,-2175222,946,-794222,4,-1209,160,5719746,507,-419925,9,-9914,47,-23387,3613,-201034,1338,992796,2275,-1193830,48,117952,1,684,2964,6415151,49,31851,1,205,1866,206775
"2023","weiblich","Salzburg","20 bis unter 25",3611,3611,83324185,3611,81270375,3581,3619664,2666,-3089064,1924,2331598,1634,-1861737,3056,72111303,71,357510,744,5948137,1111,9130360,3043,59726272,65,238555,1497,7917974,30,180430,2569,-906390,22,-180509,159,-715125,12,-8223,17,-31421,39,-25720,140,-85048,2088,-1826484,918,-724821,6,-2221,152,1351928,623,-857267,2,-2556,5,-1148,3579,3223301,3140,3552403,439,-329102,46,122946,0,0,2989,8381370,46,33079,0,0,2524,364743
"2023","weiblich","Salzburg","25 bis unter 30",3196,3196,89552499,3196,87679199,3186,7704337,2565,-5124848,1959,3875329,1214,-1375867,2777,80409226,90,458441,739,6337633,843,7190873,2778,66030967,85,332496,1475,9099466,36,250050,2330,-962252,16,-82695,127,-565957,9,-8021,8,-39471,24,-16632,135,-82080,1978,-1121547,741,-460021,7,-3509,97,943006,643,-1058795,3,-3487,0,0,3184,7228203,3027,7328917,157,-100714,59,83816,2,25667,2741,9358062,59,22819,2,7700,2481,445615
"2023","weiblich","Salzburg","30 bis unter 40",5114,5114,180485239,5114,177585402,5114,23381010,4177,-14946983,3477,10303934,1599,-1971812,4465,161519842,130,781680,1276,14527934,1214,14204973,4450,132497864,154,613411,2467,17423974,78,670887,3812,-1630255,15,-174164,244,-752733,14,-12131,15,-21697,35,-23176,239,-144512,3128,-1324451,736,-395292,15,-5130,177,1439711,1127,-2159549,2,-1050,0,0,5111,22288369,5038,22329934,73,-41565,127,431113,4,72562,4404,18839425,127,117409,4,21768,4106,952791
"2023","weiblich","Salzburg","40 bis unter 50",3382,3382,153216136,3382,151112063,3381,27257846,2893,-17311888,2407,11052482,951,-1253898,2999,139322288,76,362913,922,12785740,660,10089554,2990,114679241,160,756712,1723,14132632,54,529451,2620,-1318028,9,-86685,134,-516923,10,-16137,28,-71976,14,-9216,150,-92440,2058,-866416,250,-151252,9,-2604,122,1020957,750,-1502805,0,0,0,0,3378,26234419,3373,26235861,5,-1442,139,578318,2,15369,2957,16280172,139,156929,2,4611,2851,861887
"2023","weiblich","Salzburg","50 bis unter 70",3496,3496,207357376,3496,204764359,3496,46846192,2921,-27928374,2661,19781449,822,-1147878,3050,178934951,67,497797,1048,19334546,691,17547343,3033,146766351,169,1292876,1861,20922055,71,1126257,2785,-1851726,8,-213465,136,-420669,14,-43898,27,-61435,13,-8512,146,-87072,2113,-891992,196,-118557,4,-2251,123,1462542,807,-1505182,0,0,0,0,3491,45340041,3485,45344796,6,-4755,142,1097616,9,293936,3003,20595281,142,298623,9,88181,2885,1119346
"2023","weiblich","Salzburg","70 bis unter 100",1782,1782,148601509,1782,146730260,1782,41851546,1398,-21093328,1475,21131020,305,-568886,1463,110487193,48,458059,650,18070912,393,19273081,1455,91070326,101,1489506,888,16849126,61,1431236,1462,-1178007,9,-207008,66,-529522,8,-13693,15,-41339,11,-7152,81,-47648,1054,-445085,100,-64548,1,-372,70,1167637,466,-933711,0,0,0,0,1778,40672959,1775,40674640,3,-1681,82,1307537,10,427833,1439,12501746,82,355869,10,128350,1372,694368
"2023","weiblich","Salzburg","100 und mehr",1630,1630,350350848,1630,347270268,1630,128992050,1087,-32651583,1458,89540684,171,-731931,1163,127883211,48,855954,757,78706704,409,59639776,1152,109454727,195,56349195,719,32413206,81,12864052,1288,-3025825,7,-1013787,59,-219466,17,-265851,37,-2049991,13,-8560,83,-49193,790,-333907,120,-72919,5,-1519,107,6972116,472,-1008511,0,0,1,-550,1597,110642057,1584,110649061,13,-7004,172,52247072,35,10373566,1117,13664155,172,14333405,35,3112070,1039,960261
"2023","weiblich","Steiermark","bis unter 4",7701,7363,-9600320,4928,9687620,2115,-1293759,754,-319466,49,11852,2139,-1857261,2386,13761187,370,-1059503,1519,80451,4614,-17325435,2254,10051652,113,149088,1042,-1842733,47,482677,2291,-6283150,638,-5707533,178,-685472,0,0,44,-24692,213,-151992,317,-195886,1230,-528790,353,-119521,5,-683,151,3270443,9,-4998,8,-2430,355,-366541,2080,-1327447,29,18506,2051,-1345953,45,30030,5,5132,1904,1451114,45,8045,5,1539,199,24095
"2023","weiblich","Steiermark","4 bis unter 6",2993,2993,16560303,2993,14909317,964,-536306,394,-419752,24,10333,958,-982714,1120,9139039,92,134950,596,1973392,1919,6685657,1091,7247211,40,96560,373,433669,18,56948,1050,-1566917,89,-1355466,83,-527094,0,0,16,-10507,76,-53678,93,-57304,591,-309634,190,-49888,3,-351,58,806508,12,-7341,1,-300,122,-116669,928,-563993,20,9009,908,-573002,19,20282,0,0,994,1015280,19,5543,0,0,109,22144
"2023","weiblich","Steiermark","6 bis unter 8",2692,2692,19726787,2692,18803482,1047,-657238,385,-385740,22,11032,1043,-1069616,1138,10392697,115,301997,501,2209263,1689,7980125,1113,8414853,33,77955,357,783728,14,42670,989,-886681,62,-647720,89,-467897,0,0,20,-11645,50,-34400,103,-62368,651,-424374,262,-80696,2,-870,40,444413,6,-5934,3,-928,110,-105054,1025,-677310,23,13127,1002,-690436,7,9604,2,2240,1057,1203705,7,2597,2,672,90,16803
"2023","weiblich","Steiermark","8 bis unter 10",2694,2694,25311427,2694,24187772,1162,-800610,441,-314235,19,10855,1166,-1160199,1263,12657960,115,479191,547,3186574,1616,10177483,1245,10395669,38,99802,423,965113,17,89120,1168,-540203,54,-257945,90,-417906,0,0,24,-17080,46,-30616,103,-62272,720,-547635,336,-121659,1,-424,39,440419,23,-11023,7,-3014,94,-89706,1154,-818302,22,13902,1132,-832203,9,7440,4,4010,1188,1470404,9,2043,4,1203,111,14446
"2023","weiblich","Steiermark","10 bis unter 15",6453,6453,84047318,6453,80668870,5117,-2775106,2166,-1239876,1138,397172,4002,-4510401,4243,59006298,384,1813652,1311,7313821,3199,21165354,4196,49177234,107,354848,1384,4253503,63,284645,3659,-1614950,85,-687815,369,-1178064,3,-2309,48,-43952,99,-66670,304,-183528,2596,-2435475,1322,-702486,9,-2553,106,1208693,392,-131328,22,-12455,228,-203320,5083,-2915615,1146,407941,3937,-3323556,44,94545,14,44788,4027,6839558,44,25895,14,13436,1177,101548
"2023","weiblich","Steiermark","15 bis unter 20",6522,6522,117347257,6522,114190664,6278,-434967,4250,-2553887,1706,1332895,4554,-4433279,5298,100600312,446,1724107,1383,8023079,2607,17805750,5272,83800189,125,433042,1739,5480245,82,498493,4130,-1505929,64,-438138,399,-1043483,3,-2040,36,-46292,65,-46632,284,-172008,3460,-3709450,1739,-1457524,11,-3573,108,1018681,898,-726576,12,-13472,106,-66501,6243,-891439,2026,1429136,4217,-2320575,60,127173,18,60331,5159,11695307,60,34352,18,18099,3673,404854
"2023","weiblich","Steiermark","20 bis unter 25",6081,6081,139741800,6081,136544903,6031,5308202,4708,-5701413,2786,3250456,3200,-3766033,5201,128366573,404,1740211,1388,9959271,2097,15179786,5177,105538117,98,309222,1885,6747480,90,645617,4071,-1499573,47,-460444,413,-1147698,7,-3304,28,-44136,80,-55672,282,-170656,3628,-3227851,1494,-1164130,23,-7543,70,518146,1163,-1552676,10,-12758,20,-7622,6024,4581589,5101,5306664,923,-725075,58,52010,20,117209,5112,15069557,58,13869,20,35163,4500,678232
"2023","weiblich","Steiermark","25 bis unter 30",5214,5214,145524132,5214,142909463,5195,11793325,4316,-9408912,2711,4987486,2443,-2816906,4584,140027110,353,1581119,1299,9210805,1618,13308724,4575,113612224,124,342641,1754,7201015,79,598119,3576,-1110513,20,-140298,370,-1010269,11,-10883,23,-85372,44,-30904,284,-171320,3340,-1943560,1124,-636517,19,-6656,83,541938,1150,-1989176,5,-6214,1,-57,5194,10934345,4839,11152834,355,-218488,83,120696,18,95799,4527,16366818,83,32734,18,28740,4212,797506
"2023","weiblich","Steiermark","30 bis unter 40",7732,7732,272081744,7732,268017928,7730,34091778,6630,-25563058,4456,12079862,3200,-3854942,6881,266681903,431,2571807,2031,18250587,2074,20546516,6856,215546004,204,884217,2965,13553264,130,1208726,5510,-2169723,16,-140659,548,-1382248,13,-40974,23,-46972,56,-38064,350,-212248,5036,-2131619,871,-444727,28,-10295,132,1391789,1807,-3404357,3,-3556,0,0,7728,32315576,7614,32386496,114,-70920,150,466179,28,177347,6808,31074930,150,125887,28,53204,6513,1597111
"2023","weiblich","Steiermark","40 bis unter 50",5008,5008,226687588,5008,223406187,5008,39296311,4346,-28241960,3099,13350364,1867,-2530299,4485,218952870,248,1571813,1419,15902493,1125,16526878,4467,178516616,156,820246,2232,12354238,108,1287113,3705,-1901044,18,-219413,358,-974998,11,-13955,26,-35579,34,-25352,244,-142904,3154,-1333316,269,-166513,12,-6003,57,573674,1230,-2404202,1,-660,0,0,5005,37669218,4986,37683247,19,-14029,111,557680,22,379662,4438,25594380,111,151147,22,113899,4310,1365394
"2023","weiblich","Steiermark","50 bis unter 70",5166,5166,305291046,5166,301634119,5166,67467933,4415,-45132217,3498,24560508,1650,-2729363,4549,281755798,315,2808694,1573,26330260,1051,23674322,4534,230098147,214,1716986,2498,18828488,159,2094061,4063,-2358754,8,-38148,359,-997248,14,-57435,38,-158926,37,-24128,223,-134208,3180,-1342898,206,-134423,17,-5194,64,562062,1380,-2565252,2,-1288,0,0,5160,65092971,5151,65100668,9,-7697,159,1250846,49,925613,4498,32538051,159,341980,49,277684,4366,1779126
"2023","weiblich","Steiermark","70 bis unter 100",2749,2749,227669904,2749,225501959,2749,63332835,2211,-35526561,2081,28472204,663,-1372385,2319,185064823,168,2015627,1043,31997726,543,22466023,2307,151090971,137,2166626,1300,15637105,105,2399288,2185,-1663842,4,-187656,163,-341757,11,-29363,23,-194756,12,-8360,137,-80216,1674,-706602,122,-85402,9,-4372,51,602389,741,-1382541,0,0,0,0,2743,61287775,2734,61292354,9,-4580,103,1607997,43,1516841,2285,20804988,103,440648,43,454770,2176,1161365
"2023","weiblich","Steiermark","100 und mehr",2737,2737,530846124,2737,525514337,2737,199558109,1810,-55480922,2325,141313746,409,-1487622,1930,223274086,147,2887321,1529,188740976,657,82189142,1911,187159713,233,36823583,1073,23118059,155,9976879,2216,-4713705,10,-2150504,153,-530358,10,-9750,31,-558897,28,-18112,145,-90648,1396,-593658,118,-79415,6,-2046,45,2522398,919,-1785942,1,-1278,0,0,2721,186641630,2707,186649282,14,-7652,188,35283524,56,7082672,1881,23767571,188,9693317,56,2124802,1754,1516068
"2023","weiblich","Tirol","bis unter 4",5151,4957,-10169343,3292,6450425,1594,1513794,630,-372494,102,41092,1554,-1798631,1801,13434662,99,-44403,996,-383770,2654,-19308091,1723,9504094,201,909753,1214,-899965,19,138917,1651,-7681140,520,-7068930,117,-717879,1,-145,59,-65067,52,-37472,183,-114308,977,-474995,360,-121789,2,-172,341,16823494,2,-616,5,-2351,153,-148787,1528,1467869,51,2336994,1477,-869126,92,69629,1,1820,1411,1284407,92,18515,1,546,217,26557
"2023","weiblich","Tirol","4 bis unter 6",1825,1825,9942591,1825,9108467,771,-357919,308,-439875,36,26757,747,-849399,860,8199820,33,-182178,319,708940,874,1544084,847,6708166,56,131376,555,1021009,10,61967,793,-1612577,73,-1415507,52,-380307,0,0,17,-19401,26,-17992,58,-35560,495,-288309,167,-50534,1,-41,107,2736932,6,-4273,2,-527,58,-56100,729,-388717,32,23248,697,-411965,21,24689,0,0,768,932557,21,6599,0,0,117,24199
"2023","weiblich","Tirol","6 bis unter 8",1668,1668,11791342,1668,11668586,813,-455005,324,-203910,25,21096,806,-748787,913,7877892,40,115710,335,1298954,703,2010719,893,6375313,54,218221,552,1785863,14,47373,776,-542861,45,-256853,43,-250755,0,0,25,-25360,20,-15944,63,-36952,523,-341917,219,-74957,0,0,89,1249919,8,-4612,2,-419,56,-49527,801,-470652,24,20573,777,-491226,20,18758,0,0,826,887535,20,5061,0,0,75,10586
